1,1,0,2,0,41,448,448,448,43,2,0,0,2,3,0,0,0,2,2,3,3,2,3,3,0,1,1,3,0
3,0,1,2,0,41,448,448,448,43,1,3,2,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,1,2
0,0,0,0,9,45,448,448,448,43,0,0,0,0,1,0,0,0,1,14,2,1,0,0,0,0,0,3,2,1
0,3,1,1,41,448,448,448,448,43,0,0,3,14,0,0,0,0,3,1,1,2,2,0,0,2,0,0,0,0
0,0,3,0,41,448,448,450,448,43,0,0,0,0,0,0,2,2,0,3,0,1,3,0,0,0,2,0,3,2
0,3,0,0,41,450,448,448,448,43,0,0,0,0,0,0,14,1,1,0,1,0,0,14,0,0,0,0,3,3
0,14,0,9,45,448,448,448,448,43,1,2,0,3,0,0,0,0,2,3,2,0,0,0,0,0,0,0,1,0
0,3,0,41,448,448,449,448,448,44,11,1,14,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3
0,3,0,41,448,448,448,448,448,448,43,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0
0,1,0,41,448,448,448,449,448,448,43,0,0,2,1,9,10,11,0,0,2,0,3,2,0,0,0,1,1,1
0,2,0,73,13,450,448,448,448,448,43,0,1,0,0,41,448,43,0,0,0,1,0,2,0,0,0,0,1,1
14,1,0,0,41,451,448,448,448,448,43,2,0,1,3,41,448,43,0,0,0,1,2,0,0,1,0,3,2,0
0,0,0,0,41,448,448,448,448,12,75,3,0,0,0,41,448,43,0,0,0,14,0,0,0,0,0,0,0,0
0,0,14,0,41,448,448,448,448,43,0,1,3,1,0,73,74,75,0,0,0,0,2,1,14,0,3,0,1,0
0,1,1,0,41,448,448,448,450,43,0,2,0,0,0,0,0,0,1,0,1,0,3,3,0,1,0,3,3,0
0,14,0,0,73,13,449,448,448,43,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,3,1
1,0,0,0,2,41,448,449,448,44,10,11,0,2,0,2,2,2,2,3,0,0,0,0,0,0,0,0,0,2
0,0,0,2,3,41,448,448,448,448,448,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,41,448,448,448,448,12,75,1,2,0,2,3,0,1,2,3,0,3,3,1,2,1,0,1,0
1,0,2,0,1,41,448,448,449,448,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
